"","","කෑගල්ල","Lightning","","","","","","","","","","",""
"","1","Warakapola
Nffhiy","Flood","2020.05.16","55","222","","","","53","","","",""
"","","Kegalle","Cutting Failure/","","","","","","","","","","","The deaths were caused by"
"","","Kegalle","","2020.05.16","52","154","1","","","2
26","","","",""
"","","","Flood/","","","","","","","","","","Cutting Failure",""
"","","","Cutting Failure/","","","","","","","","","","",""
"","","Yatiyantota","","2020.05.15","12","41","","","","2","","","",""
"","","","Lightning/ Flood","","","","","","","","","","",""
"","","","","","","","","","","","","","","The deaths were caused by"
"ස්ත්‍බරගමුව පලාත","","Galigamuwa","Flood","2020.05.15","376","1160","1","1","","7
254","103","","",""
"rg;ufKt","","","","","","","","","","","","","drawning",""
"Sabaragamuwa","","","Cutting Failure/","","","","","","","","","","",""
"","","Rambukkana","","2020.05.15","49","195","","","","46","","","",""
"","","","High Wind","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","568","1868","2","1","0","9
391","103
0","0
0","0",""
"","","Rathnapura","Heavy Rain","","4","28","","","","1","","","",""
"","","Elapatha","High Wind","","6","25","","","","6","","","",""
"","","Palmadulla
රත්නපුර","Tree falean","","9","35","","1","","9","","","",""
"","2","Kuruwita
,uj;jpdGhp","Cutting Failure/ Flood","2020.05.15","22","89","","","","19","","","",""
"","","Rathnapura","","","","","","","","","","","",""
"","","Ehaliyagoda","High Wind","","13","55","","","","13","","","",""
"","","Kalawana","High Wind","","1","3","","","","1","","","",""
"","","Kolonna","High Wind","","3","12","","","","3","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","58","247","0","1","0","0
52","0
0","0
0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","626","2115","2","2","0","9
443","103
0","0
0","0",""
"","","Paathadumbara","Tree falean","2020.05.16","3","12","","1","","4","","","",""
"","","මහනුවර","","","","","","","","","","","",""
"","","Thumpane","High Wind","2020.05.14/15","3","12","","","","3","","","",""
"","3","fz;b","","","","","","","","","","","",""
"","","Poojapitiya
Kandy","High Wind","2020.05.15","1","8","","","","1","","","",""
"මධ්‍යම පලාත","","Paathahewahata","High Wind","2020.05.16","2","10","","","","2","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","42","0","1","0","0
10","0
0","0
0","0",""
"Central","","","","","","","","","","","","","",""
"","","නුවරඑලිය","","","","","","","","","","","",""
"","4","Ambagamuwa
Etnuypah","Rock Falean","2020.05.16","1","3","","","","1","","","",""
"","","Nuwara Eliya","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","0","0
1","0
0","0
0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","10","45","0","1","0","0
11","0
0","0
0","0",""
"","","හම්බන්තාට 
Walasmulla","Lightning","","1","5","","","","1","","","",""
"","5","`k;ghe;Njhl;il","","2020.05.14","","","","","","","","","",""
"","","Beliatta
Hambantota","High Wind","","1","1","","","","1","","","",""
"දකුනු පලාත","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","6","0","0","0","0
2","0
0","0
0","0",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"","","ගාල්ල","","","","","","","","","","","",""
"Southern","6","Imaduwa","Lightning","2020.05.15","3","12","","2","","3","","","",""
"","","fhy      Galle","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","12","0","2","0","0
3","0
0","0
0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5","18","0","2","0","0
5","0
0","0
0","0",""
