"","","","Mahawewa","","","24","58","","4","","","16","","9","","","",""
"","","පුත්තලම","","","","","","","","","","","","","","","",""
"","","","Wennappuwa","","","17","57","","","","","15","","3","1","","",""
"","1","Gj;jsk;","","High Wind/Tree Fallen","2025.05.30","","","","","","","","","","","","",""
"වයඹ පලාත","","","Madampe","","","18","65","","","","","16","","2","","","",""
"","","Puttalam","","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","","","",""
"","","","Mahakumbukkadawala","","","94","303","","","","","94","","","1","","",""
"North Western","","","","","","","","","","","","","","","","","",""
"","","","Pallama","","","25","98","","","","","25","","2","","","",""
"","","","Nawagattegama","","","5","17","","","","","5","","","","","",""
"","","","Puttalama","","","1","4","","","","","1","","","","","",""
"","","","Anamaduwa","","","81","266","","","","","81","","","4","","",""
"","","","Wanatavilluwa","","","2","7","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","391","1328","0","5","0","0","377","","20","6","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","391","1328","0","5","0","0","377","","20","6","0","0","0"
"","","හම්බන්තාට","Walassmulla","","2025.06.01","1","3","","","","","1","","","","","",""
"","2","`k;ghe;Njhl;il","Thangalla","High Wind/ Heavy Rain","2025.06.01","2","5","","","","","2","","","","","",""
"","","Hambantota","","","","","","","","","","","","","","","",""
"","","","Katuwana","","2025.05.31","3","9","","","","","3","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","6","17","0","0","0","0","6","","0","0","0","0","0"
"","","","Balapitiya","High Wind/ Rain","2025.05.31-06.01","3","10","","","","","3","","","1","","",""
"","","","Waduraba","High Wind/ Rain","2025.05.31-06.01","5","18","","","","","5","","","","","",""
"","","","Ambalangoda","High Wind/ Rain","2025.05.31-06.01","24","101","","","","","24","","","","","",""
"","","","Imaduwa","High Wind/ Rain","2025.05.31-06.01","8","32","","","","","8","","","","","",""
"","","","Waliwitiya Diwithura","High Wind/ Rain","2025.05.31-06.01","15","31","","","","","15","","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","Akmeemana","High Wind/ Rain","2025.05.31-06.01","2","9","","","","","2","","","","","",""
"","","ගාල්ල","","","","","","","","","","","","","","","",""
"Southern","3","fhyp","","","","","","","","","","","","","","","",""
"","","","Habaraduwa","High Wind/ Rain","2025.05.31-06.02","6","20","","","","","6","","","","","",""
"","","Galle","","","","","","","","","","","","","","","",""
"","","","Baddegama","High Wind/ Rain","2025.05.31","54","189","","","","","54","","1","","","",""
"","","","Yakkalamulla","High Wind/ Rain","2025.05.31","7","29","","","","","7","","","","","",""
"","","","Thawalama","High Wind/ Rain","2025.05.31","1","3","","","","","1","","","","","",""
"","","","Nagoda","High Wind/ Rain","2025.05.30-31","65","223","","","","","65","","","","","",""
"","","","Rathgama","High Wind/ Rain","2025.05.30","2","8","","","","","2","","","","","",""
"","","","Madampagama","High Wind/ Rain","2025.05.31","2","10","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","194","683","0","0","0","0","194","","1","1","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","200","700","0","0","0","0","200","","1","1","0","0","0"
