"","","","","High Wind","2020.07.09","1","3","","","","","","1","","","","","","",""
"","","නුවර","","","","","","","","","","","","","","","","","",""
"","","","Udunuwara","High Wind","2020.07.05","1","1","","","","","","1","","","","","","",""
"මධයම   ොත","1","fz;b","","","","","","","","","","","","","","","","","",""
"","","","Kundasale","High Wind","2020.07.06","1","2","","","","","","1","","","","","","",""
"kj;jpa khfhzk;","","Kandy","","","","","","","","","","","","","","","","","",""
"","","","Ududumbara","High Wind","2020.07.09","","","","","","","","","","","1","","","",""
"Central","","","","","","","","","","","","","","","","","","","",""
"","","","Minipe","High Wind","2020.07.09","1","5","","","","","","1","","","","","","",""
"","","","Panwila","Heavy Rain","2020.07.10","2","8","","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","8","29","","0","","0","0","1
7","","0","1","0","0","0",""
"","","ළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","8","29","","0","","0","0","1
7","","0","1","0","0","0",""
"","","යො නය","","","","","","","","","","","","","","","","","",""
"","","","Chavakachcheri","High Wind","2020.07.05","1","5","","","","","","1","","","","","","",""
"","2","aho;g;ghzk;","","","","","","","","","","","","","","","","","",""
"","","Jaffna","Karaveddy","Fire","2020.07.08","1","3","","","","","","","","","","","","",""
"උතුරු   ොත","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","2","8","","0","","0","0","0
1","","0","0","0","0","0",""
"tl khfhzk","","මන්නොරම","Mannar Town","","","2","10","","","","","","2","","","","","","",""
"Northen","3","","","High Wind & Lightning","2020.07.09","","","","","","","","","","","","","","",""
"","","kd;dhH  Mannar","Manthaiwest","","","1","3","","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","3","13","","0","","0","0","0
3","","0","0","0","0","0",""
"","","ළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","5","21","","0","","0","0","0
4","","0","0","0","0","0",""
"","","ක ොළඹ","","","","","","","","","","","","","","","","","",""
"බස්ත්‍රනොහිර   ොත","4","nfhOk;G","Thimbirigasyaya","Fire","2020.07.05","","","","","","","","","","5","","","","",""
"","","Colombo","","","","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","","","","","",""
"Nky; khfhzk ;","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","0","0","","0","","0","0","0
0","","5","0","0","0","0",""
"","","ළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","0","0","","0","","0","0","0
0","","5","0","0","0","0",""
"","","හම්බන්කතොට","Hambantota","Tree Falean","2020.07.04","1","4","","","","","","1","","","","","","",""
"","5","`k;ghe;Njhl;il","","","","","","","","","","","","","","","","","",""
"දකුනු   ොත","","","","","","","","","","","","","","","","","","","",""
"","","Hambantota","Beliatta","Cutting Failure","2020.07.07","1","4","","","","","","1","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","","","","",""
"Southern","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","2","8","","0","","0","0","0
2","","0","0","0","0","0",""
"","","ළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","2","8","","0","","0","0","0
2","","0","0","0","0","0",""
"","","ක ොක ොන්නරුව","","","","","","","","","","","","","","","","","",""
"","6","nghyd;dWit","Lankapura","High Wind & Lightning","2020.07.08","19","76","","1","","","","15","","3","","","","",""
"","","Polonnaruwa","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","19","76","","1","","0","0","0
15","","3","0","0","0","0",""
"උතුරුමැද   ොත","","","","","","","","","","","","","","","","","","","",""
"","","","Mihinthale","","","2","9","","","","","","2","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","","","","","","","",""
"","","අනුරොධපුර","Palugaswewa","","","1","3","","","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","","",""
"North Central","7","m.Guk;","Medawachchiya","High Wind","2020.07.08","16","61","","","","","","16","","","","","","",""
"","","Anuradhapura","","","","","","","","","","","","","","","","","",""
"","","","Galenbidunuwewa","","","2","7","","","","","","2","","","","","","",""
"","","","N.P.C","","","61","213","","","","","","1
60","","2","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","82","293","","0","","0","0","1
81","","2","0","0","0","0",""
"","","ළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","101","369","","1","","0","0","1
96","","5","0","0","0","0",""
"","","","","High Wind & Heavy","","","","","","","","","","","","","","","",""
"","","","Thanamalvila","","","5","18","","","","","","5","","","","","","",""
"","","","","Rain","","","","","","","","","","","","","","","",""
"","","","","Lightning","","1","1","","1","","","","","","","","","","",""
"","","","Buththala","High Wind & Heavy","","","","","","","","","","","","","","","",""
"","","කමොනරොග","","","","15","62","","","","","","15","","","","","","",""
"","","","","Rain","2020.07.09","","","","","","","","","","","","","","",""
"ඌව","8","","","","","","","","","","","","","","","","","","",""
"","","nkhdwhfiy","","","","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","Drawning","","1","1","","1","","","","","","","","","","",""
"","","Moneragala","","","","","","","","","","","","","","","","","",""
"Uva","","","Badalkumbura","","","","","","","","","","","","","","","","",""
"","","","","","","2","4","","","","","","2","","","","","","",""
"","","","","High Wind & Heavy","","","","","","","","","","","","","","","",""
"","","","Siyambalanduwa","Rain","","18","72","","","","","","18","","","","","","",""
"","","","Madulla","","2020.07.08","2","9","","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","44","167","","2","","0","0","0
42","","0","0","0","0","0",""
